"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2018","5,379.24","5,379.24","5,379.24","5,379.24","-","0.15%"
"Jul 10, 2018","5,371.30","5,371.30","5,371.30","5,371.30","-","0.56%"
"Jul 09, 2018","5,341.27","5,341.27","5,341.27","5,341.27","-","-0.46%"
"Jul 08, 2018","5,366.02","5,366.02","5,366.02","5,366.02","-","0.07%"
"Jul 05, 2018","5,362.27","5,362.27","5,362.27","5,362.27","-","1.00%"
"Jul 04, 2018","5,309.11","5,309.11","5,309.11","5,309.11","-","0.68%"
"Jul 03, 2018","5,273.16","5,273.16","5,273.16","5,273.16","-","-0.93%"
"Jul 02, 2018","5,322.41","5,322.41","5,322.41","5,322.41","-","-1.54%"
"Jun 28, 2018","5,405.46","5,405.46","5,405.46","5,405.46","-","-0.43%"
"Jun 27, 2018","5,429.04","5,429.04","5,429.04","5,429.04","-","0.33%"
"Jun 26, 2018","5,411.27","5,411.27","5,411.27","5,411.27","-","-0.41%"
"Jun 25, 2018","5,433.78","5,433.78","5,433.78","5,433.78","-","-1.60%"
"Jun 24, 2018","5,521.99","5,521.99","5,521.99","5,521.99","-","1.47%"
"Jun 21, 2018","5,441.75","5,441.75","5,441.75","5,441.75","-","1.06%"
"Jun 20, 2018","5,384.87","5,384.87","5,384.87","5,384.87","-","0.75%"
"Jun 19, 2018","5,344.96","5,344.96","5,344.96","5,344.96","-","0.07%"
"Jun 18, 2018","5,341.29","5,341.29","5,341.29","5,341.29","-","-0.45%"
"Jun 12, 2018","5,365.22","5,365.22","5,365.22","5,365.22","-","0.73%"
"Jun 11, 2018","5,326.44","5,326.44","5,326.44","5,326.44","-","0.06%"
"Jun 10, 2018","5,323.29","5,323.29","5,323.29","5,323.29","-","-0.81%"
"Jun 07, 2018","5,366.66","5,366.66","5,366.66","5,366.66","-","-0.59%"
"Jun 06, 2018","5,398.75","5,398.75","5,398.75","5,398.75","-","0.97%"
"Jun 05, 2018","5,346.80","5,346.80","5,346.80","5,346.80","-","0.62%"
"Jun 04, 2018","5,313.70","5,313.70","5,313.70","5,313.70","-","-0.06%"
"Jun 03, 2018","5,316.96","5,316.96","5,316.96","5,316.96","-","-0.50%"
"May 31, 2018","5,343.87","5,343.87","5,343.87","5,343.87","-","-0.96%"
"May 30, 2018","5,395.75","5,395.75","5,395.75","5,395.75","-","-0.26%"
"May 29, 2018","5,409.69","5,409.69","5,409.69","5,409.69","-","-0.14%"
"May 28, 2018","5,417.42","5,417.42","5,417.42","5,417.42","-","-0.72%"
"May 27, 2018","5,456.82","5,456.82","5,456.82","5,456.82","-","0.50%"
"May 24, 2018","5,429.69","5,429.69","5,429.69","5,429.69","-","1.28%"
"May 23, 2018","5,361.09","5,361.09","5,361.09","5,361.09","-","-0.57%"
"May 22, 2018","5,391.89","5,391.89","5,391.89","5,391.89","-","-0.40%"
"May 21, 2018","5,413.28","5,413.28","5,413.28","5,413.28","-","0.42%"
"May 20, 2018","5,390.70","5,390.70","5,390.70","5,390.70","-","-0.97%"
"May 17, 2018","5,443.30","5,443.30","5,443.30","5,443.30","-","-1.24%"
"May 16, 2018","5,511.76","5,511.76","5,511.76","5,511.76","-","-0.67%"
"May 15, 2018","5,548.89","5,548.89","5,548.89","5,548.89","-","-0.16%"
"May 14, 2018","5,557.57","5,557.57","5,557.57","5,557.57","-","-0.02%"
"May 13, 2018","5,558.66","5,558.66","5,558.66","5,558.66","-","-0.51%"
"May 10, 2018","5,587.21","5,587.21","5,587.21","5,587.21","-","-0.71%"
"May 09, 2018","5,627.33","5,627.33","5,627.33","5,627.33","-","-0.27%"
"May 08, 2018","5,642.46","5,642.46","5,642.46","5,642.46","-","-0.72%"
"May 07, 2018","5,683.53","5,683.53","5,683.53","5,683.53","-","-0.19%"
"May 06, 2018","5,694.27","5,694.27","5,694.27","5,694.27","-","-0.08%"
"May 03, 2018","5,698.68","5,698.68","5,698.68","5,698.68","-","-0.71%"
"Apr 30, 2018","5,739.22","5,739.22","5,739.22","5,739.22","-","-1.28%"
"Apr 26, 2018","5,813.79","5,813.79","5,813.79","5,813.79","-","0.20%"
"Apr 25, 2018","5,802.02","5,802.02","5,802.02","5,802.02","-","0.43%"
"Apr 24, 2018","5,777.35","5,777.35","5,777.35","5,777.35","-","-0.50%"
"Apr 23, 2018","5,806.13","5,806.13","5,806.13","5,806.13","-","-0.12%"
"Apr 22, 2018","5,813.28","5,813.28","5,813.28","5,813.28","-","-0.52%"
"Apr 19, 2018","5,843.46","5,843.46","5,843.46","5,843.46","-","0.35%"
"Apr 18, 2018","5,822.99","5,822.99","5,822.99","5,822.99","-","0.78%"
"Apr 17, 2018","5,777.95","5,777.95","5,777.95","5,777.95","-","-0.12%"
"Apr 16, 2018","5,784.67","5,784.67","5,784.67","5,784.67","-","0.19%"
"Apr 15, 2018","5,773.60","5,773.60","5,773.60","5,773.60","-","-0.68%"
"Apr 12, 2018","5,813.13","5,813.13","5,813.13","5,813.13","-","-0.35%"
"Apr 11, 2018","5,833.26","5,833.26","5,833.26","5,833.26","-","-0.45%"
"Apr 10, 2018","5,859.60","5,859.60","5,859.60","5,859.60","-","-0.34%"
